title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Pot o' Gold,MOVIE,"Jimmy, the owner of a failed music shop, goes to work with his uncle, the owner of a food factory. Before he gets there, he befriends an Irish family who happens to be his uncle's worst enemy because of their love for music and in-house band who constantly practices. Soon, Jimmy finds himself trying to help the band by getting them gigs and trying to reconcile the family with his uncle.",1941,86,"['romance', 'comedy']",6.0,2.255,Paramount
My Favorite Brunette,MOVIE,"Baby photographer Ronnie Jackson, on death row in San Quentin, tells reporters how he got there: taking care of his private-eye neighbor's office, Ronnie is asked by the irresistible Baroness Montay to find the missing Baron. There follow confusing but sinister doings in a gloomy mansion and a private sanatorium, with every plot twist a parody of thriller cliches.",1947,87,"['thriller', 'crime', 'romance', 'comedy']",6.8,3.368,Paramount
Within Our Gates,MOVIE,"Abandoned by her fiancé, an educated negro woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished negro youths.",1920,74,"['drama', 'romance']",6.4,4.79,Paramount
Way Down East,MOVIE,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",1920,145,"['romance', 'drama']",7.4,5.858,Paramount
Ghosts on the Loose,MOVIE,"The East Side Kids try to fix up a house for newlyweds, but find the place next door ""haunted"" by mysterious men.",1943,67,"['comedy', 'action', 'thriller']",5.0,3.019,Paramount
The Mark of Zorro,MOVIE,"Don Diego Vega pretends to be an indolent fop as a cover for his true identity, the masked avenger Zorro.",1920,90,"['western', 'romance']",7.1,3.576,Paramount
Terror by Night,MOVIE,"Holmes and Watson board a passenger train bound from London to Edinburgh, to guard the Star of Rhodesia, an enormous diamond worth a fortune belonging to an elderly woman of wealth; but within the first hour of the trip, the woman's son is murdered and the diamond stolen and any of the passengers in their car could be the killer thief.",1946,60,"['thriller', 'drama', 'crime']",6.8,5.282,Paramount
Till the Clouds Roll By,MOVIE,"Light bio-pic of American Broadway pioneer Jerome Kern, featuring renditions of the famous songs from his musical plays by contemporary stage artists, including a condensed production of his most famous: 'Showboat'.",1946,132,['music'],6.3,2.711,Paramount
King of the Zombies,MOVIE,"During World War II, a small plane somewhere over the Caribbean runs low on fuel and is blown off course by a storm. Guided by a faint radio signal, they crash-land on an island. The passenger, his manservant and the pilot take refuge in a mansion owned by a doctor. The quick-witted yet easily-frightened manservant soon becomes convinced the mansion is haunted by zombies and ghosts.",1941,67,"['comedy', 'horror']",5.2,3.763,Paramount
Our Daily Bread,MOVIE,"John and Mary sims are city-dwellers hit hard by the financial fist of The Depression. Driven by bravery (and sheer desperation) they flee to the country and, with the help of other workers, set up a farming community - a socialist mini-society based upon the teachings of Edward Gallafent. The newborn community suffers many hardships - drought, vicious raccoons and the long arm of the law - but ultimately pull together to reach a bread-based Utopia.",1934,80,"['romance', 'drama']",7.0,3.615,Paramount
Judge Priest,MOVIE,"Judge Priest, a proud Confederate veteran, restores the justice in a small town in the Post-Bellum Kentucky using his common sense and his great sense of humanity.",1934,80,"['comedy', 'drama', 'romance']",6.2,2.996,Paramount
Angel and the Badman,MOVIE,"Notorious shootist and womanizer Quirt Evans' horse collapses as he passes a Quaker family's home. Quirt has been wounded, and the kindly family takes him in to nurse him back to health against the advice of others. The handsome Evans quickly attracts the affections of their beautiful daughter, Penelope. He develops an affection for the family and their faith, but his troubled past follows him.",1947,100,"['western', 'romance']",6.8,5.926,Paramount
That Uncertain Feeling,MOVIE,A happily married woman sees a psychoanalyst and develops doubts about her husband.,1941,84,"['romance', 'comedy']",6.6,2.747,Paramount
The Emperor Jones,MOVIE,"Unscrupulously ambitious, Brutus Jones escapes from jail after killing a guard and through bluff and bravado he finds himself the emperor of a Caribbean island.",1933,75,"['drama', 'music']",6.4,1.946,Paramount
