title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Last Week Tonight with John Oliver,SHOW,"A half-hour satirical look at the week in news, politics and current events.",2014,31,"['comedy', 'history', 'reality']",8.9,33.085,HBO Max
The Secret Life of Walter Mitty,MOVIE,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,2013,114,"['fantasy', 'drama', 'romance', 'comedy']",7.3,29.901,HBO Max
42,MOVIE,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",2013,128,"['drama', 'sport']",7.5,13.936,HBO Max
The Raid 2,MOVIE,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",2014,150,"['thriller', 'action', 'crime', 'history']",7.9,35.881,HBO Max
Pacific Rim,MOVIE,"A ragtag band of humans band together in the year 2025 to fight legions of monstrous creatures rising from the sea. Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes -- a washed up former pilot and an untested trainee -- who now stand as earth's final hope against the mounting apocalypse.",2013,131,"['scifi', 'action']",6.9,105.869,HBO Max
Over the Garden Wall,SHOW,"Two brothers, Wirt and Greg, find themselves lost in the Unknown; a strange forest adrift in time. With the help of a wise old Woodsman and a foul-tempered bluebird named Beatrice, Wirt and Greg must travel across this strange land, in hope of finding their way home. Join them as they encounter surprises and obstacles on their journey through the wood.",2014,11,"['family', 'comedy', 'thriller', 'scifi', 'animation', 'fantasy', 'horror', 'action', 'drama']",8.8,39.166,HBO Max
We're the Millers,MOVIE,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,2013,110,"['comedy', 'crime']",7.0,34.047,HBO Max
The Great Gatsby,MOVIE,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2013,142,"['drama', 'romance']",7.2,23.566,HBO Max
Steven Universe,SHOW,"A young boy takes his mother's place in a group of gemstone-based beings, and must learn to control his powers.",2013,11,"['action', 'scifi', 'comedy', 'animation', 'drama', 'family', 'thriller', 'fantasy']",8.2,84.339,HBO Max
Unbroken,MOVIE,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",2014,132,"['drama', 'action', 'sport', 'war']",7.2,22.852,HBO Max
Oblivion,MOVIE,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",2013,126,"['action', 'scifi', 'european']",7.0,27.759,HBO Max
47 Ronin,MOVIE,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",2013,119,"['fantasy', 'drama', 'action']",6.2,22.723,HBO Max
Man of Steel,MOVIE,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013,143,"['fantasy', 'scifi', 'action']",7.1,80.722,HBO Max
Only Lovers Left Alive,MOVIE,"A depressed musician reunites with his lover in the desolate streets of Detroit. Though their romance has endured several centuries, it is tested by the arrival of her capricious and unpredictable younger sister.",2013,123,"['drama', 'horror', 'comedy', 'fantasy', 'romance', 'european']",7.2,13.065,HBO Max
The Knick,SHOW,"Set in downtown New York in 1900, 'The Knick' is centered on the Knickerbocker Hospital and the groundbreaking surgeons, nurses and staff who work there, pushing the bounds of medicine in a time of astonishingly high mortality rates and zero antibiotics.

John Thackery is a brilliant surgeon pioneering new methods in the field, despite his secret addiction to cocaine. He leads a team of doctors including his protégé Dr. Everett Gallinger; the young Dr. Bertie Chickering Jr. and Dr. Algernon Edwards, a promising surgeon who's been recently thrust upon him. The lively cast of characters at the hospital also includes Cornelia Robertson, the daughter of its benefactor, Captain August Robertson; surly ambulance driver Tom Cleary; Lucy Elkins; a fresh-faced nurse from the country; the crooked hospital administrator Herman Barrow; and Sister Harriet, a nun who isn't afraid to speak her mind.",2014,54,"['drama', 'history']",8.5,12.834,HBO Max
12 Years a Slave,MOVIE,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",2013,134,"['drama', 'history']",8.1,24.474,HBO Max
Gomorrah,SHOW,"Based on Robert Saviano's bestselling book, this gritty Italian crime drama paints a portrait of the brutal Neapolitan crime organisation the Camorra, as seen through the eyes of Ciro Di Marzo, the obedient and self- confident right-hand man of the clan's godfather, Pietro Savastano.",2014,47,"['drama', 'crime', 'thriller', 'european']",8.7,80.218,HBO Max
Fast & Furious 6,MOVIE,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",2013,130,"['thriller', 'crime', 'action']",7.1,12.818,HBO Max
Ender's Game,MOVIE,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",2013,114,"['scifi', 'fantasy', 'family', 'action']",6.6,20.563,HBO Max
The Wolverine,MOVIE,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",2013,129,"['fantasy', 'action', 'scifi']",6.7,15.32,HBO Max
Stoker,MOVIE,"After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.",2013,99,"['horror', 'thriller', 'drama']",6.8,22.923,HBO Max
The Conjuring,MOVIE,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013,107,"['thriller', 'horror']",7.5,150.432,HBO Max
The Way Way Back,MOVIE,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.",2013,103,"['drama', 'comedy']",7.4,14.309,HBO Max
Percy Jackson: Sea of Monsters,MOVIE,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",2013,106,"['fantasy', 'thriller', 'family']",5.7,51.625,HBO Max
